experimentPhase	trialnum	subject	task	noisePercent	ISIframes	lltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	responseOrder1	responseOrder2	answer0	response0	correct0	answer1	response1	correct1	answer2	response2	correct2	timingBlips
main	116	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	0	1	2	U 	U 	1	K 	R 	0	C 	C 	1	0
main	117	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	1	0	2	C 	C 	1	T 	I 	0	A 	A 	1	0
main	118	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, -1) "	0	1	2	H 	H 	1	T 	T 	1	T 	C 	0	0
main	119	aholcombe 	 T1 	0	3	1	False 	False 	True 	both 	"(0, 1) "	1	2	0	K 	S 	0	K 	S 	0	Y 	K 	0	0
main	120	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	2	0	1	H 	H 	1	Z 	C 	0	C 	C 	1	0
main	121	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	0	2	1	M 	M 	1	J 	I 	0	S 	S 	1	0
main	122	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	1	0	2	Z 	Z 	1	N 	N 	1	G 	Z 	0	0
main	123	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, -1) "	2	0	1	Y 	J 	0	N 	N 	1	S 	N 	0	0
main	124	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	2	0	1	Y 	Y 	1	S 	S 	1	G 	G 	1	0
main	125	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	1	2	0	N 	N 	1	S 	S 	1	M 	G 	0	0
main	126	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	1	2	0	E 	S 	0	S 	E 	0	R 	S 	0	0
main	127	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, -1) "	2	0	1	J 	J 	1	J 	J 	1	Z 	Z 	1	0
main	128	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, -1) "	2	1	0	N 	N 	1	S 	S 	1	G 	G 	1	0
main	129	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, 1) "	0	2	1	M 	M 	1	N 	N 	1	E 	E 	1	0
main	130	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	1	0	2	G 	G 	1	Y 	Y 	1	H 	N 	0	0
main	131	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	2	0	1	F 	E 	0	E 	E 	1	C 	C 	1	0
main	132	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, -1) "	0	2	1	Y 	Y 	1	Y 	Y 	1	N 	N 	1	0
main	133	aholcombe 	 T1 	0	3	1	False 	False 	True 	both 	"(0, -1) "	0	1	2	Z 	Z 	1	C 	X 	0	F 	Z 	0	0
main	134	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	0	1	2	H 	H 	1	M 	R 	0	R 	R 	1	0
main	135	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	0	2	1	Y 	Y 	1	T 	T 	1	A 	E 	0	0
main	136	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	1	0	2	G 	G 	1	G 	G 	1	F 	H 	0	0
																	0.84962406	#DIV/0!	#DIV/0!	0.684210526	#DIV/0!	#DIV/0!	0.631578947	0
